,,,Menores de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1),Mayor de 25,   Agricultura,   Industria,   Construcción,   Servicios,   No clasificable (1)
,,mujer,,0.23,0.22,0.11,24.26,18.35,,6.43,6.94,4.82,350.3,95.31
,Agosto,,,,,,,,,,,,,
,,hombre,,1.12,1.33,1.45,19.05,23.27,,21.1,34.09,51.4,330.3,113.2
,,mujer,,0.23,0.22,0.11,24.26,18.35,,6.43,6.94,4.82,350.3,95.31
,Septiembre,,,,,,,,,,,,,
,,hombre,,1.12,1.33,1.45,19.05,23.27,,21.1,34.09,51.4,330.3,113.2
,,mujer,,0.23,0.22,0.11,24.26,18.35,,6.43,6.94,4.82,350.3,95.31
,Abril,,,,,,,,,,,,,
,,hombre,,0.98,0.88,1.75,18.51,22.81,,20.02,33.51,60.58,326.75,97.68
,,mujer,,0.44,0,1.08,23.67,15.83,,7.18,8.99,3.69,359.29,83.83
,Mayo,,,,,,,,,,,,,
,,hombre,,0.98,0.88,1.75,18.51,22.81,,20.02,33.51,60.58,326.75,97.68
,,mujer,,0.44,0,1.08,23.67,15.83,,7.18,8.99,3.69,359.29,83.83
,Junio,,,,,,,,,,,,,
,,hombre,,0.98,0.88,1.75,18.51,22.81,,20.02,33.51,60.58,326.75,97.68
,,mujer,,0.44,0,1.08,23.67,15.83,,7.18,8.99,3.69,359.29,83.83
,Enero,,,,,,,,,,,,,
,,hombre,,0.94,1.2,1.19,19.04,24.9,,21.34,34.9,60.55,335.04,102.87
,,mujer,,0.48,0.11,0.33,22.67,17.18,,6.74,11.27,3.43,357.96,87.44
,Febrero,,,,,,,,,,,,,
,,hombre,,0.94,1.2,1.19,19.04,24.9,,21.34,34.9,60.55,335.04,102.87
,,mujer,,0.48,0.11,0.33,22.67,17.18,,6.74,11.27,3.43,357.96,87.44
,Marzo,,,,,,,,,,,,,
,,hombre,,0.94,1.2,1.19,19.04,24.9,,21.34,34.9,60.55,335.04,102.87
,,mujer,,0.48,0.11,0.33,22.67,17.18,,6.74,11.27,3.43,357.96,87.44
,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,
,Octubre,,,,,,,,,,,,,
,,hombre,,0.77,1.36,0.86,21.43,20.26,,21.34,33.27,62.41,340.12,93.03
,,mujer,,0.57,0.19,0.37,23.06,18.94,,7.64,10.26,3.52,360.61,80.57
,Noviembre,,,,,,,,,,,,,
,,hombre,,0.77,1.36,0.86,21.43,20.26,,21.34,33.27,62.41,340.12,93.03
,,mujer,,0.57,0.19,0.37,23.06,18.94,,7.64,10.26,3.52,360.61,80.57
,Diciembre,,,,,,,,,,,,,
,,hombre,,0.77,1.36,0.86,21.43,20.26,,21.34,33.27,62.41,340.12,93.03
,,mujer,,0.57,0.19,0.37,23.06,18.94,,7.64,10.26,3.52,360.61,80.57
